日付,従業員ID,氏名,部門,役職,予定開始,実際出勤,実際退勤,休憩時間,実働時間,業務内容,評価,勤務場所,出勤状況
2025-07-15,EMP012,小林和也,経理部,主任,10:00,10:00,16:00,60,300,一般業務,4.9,事務所,正常
2025-07-16,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.2,事務所,正常
2025-07-16,EMP003,渡辺由美,総務部,課長,09:00,09:00,17:00,60,420,来客対応,4.8,事務所,正常
2025-07-16,EMP004,田中太郎,経理部,係長,13:00,13:00,18:00,0,300,一般業務,3.3,事務所,正常
2025-07-16,EMP005,松本直樹,営業部,主任,13:00,13:00,18:00,0,300,外回り,3.2,事務所,正常
2025-07-16,EMP006,佐藤花子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,5.0,事務所,正常
2025-07-16,EMP007,清水健二,営業部,スタッフ,09:00,09:26,17:00,60,393,顧客対応,3.8,事務所,遅刻
2025-07-16,EMP008,中村真理,経理部,主任,13:00,13:00,17:00,0,240,一般業務,3.8,事務所,正常
2025-07-16,EMP009,井上麻衣,管理部,課長,09:00,09:00,13:00,0,240,一般業務,4.0,事務所,正常
2025-07-16,EMP011,木村拓也,総務部,課長,09:00,09:29,17:00,60,390,事務処理,4.5,事務所,遅刻
2025-07-16,EMP012,小林和也,経理部,主任,17:00,17:00,22:00,0,300,一般業務,4.9,事務所,正常
2025-07-17,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.7,事務所,正常
2025-07-17,EMP002,鈴木次郎,経理部,主任,09:00,09:00,17:00,60,420,一般業務,3.6,事務所,正常
2025-07-17,EMP003,渡辺由美,総務部,課長,09:00,09:00,17:00,60,420,電話対応,4.1,事務所,正常
2025-07-17,EMP004,田中太郎,経理部,係長,17:00,17:00,22:00,0,300,一般業務,3.8,事務所,正常
2025-07-17,EMP005,松本直樹,営業部,主任,13:00,13:00,17:00,0,240,顧客対応,3.6,事務所,正常
2025-07-17,EMP006,佐藤花子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.7,事務所,正常
2025-07-17,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,顧客対応,3.3,事務所,正常
2025-07-17,EMP008,中村真理,経理部,主任,13:00,13:00,19:00,60,300,一般業務,3.5,事務所,正常
2025-07-17,EMP009,井上麻衣,管理部,課長,17:00,17:00,24:17,60,377,一般業務,3.2,事務所,早退
2025-07-17,EMP012,小林和也,経理部,主任,10:00,10:15,18:00,60,404,一般業務,4.6,事務所,遅刻
2025-07-18,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.9,事務所,正常
2025-07-18,EMP002,鈴木次郎,経理部,主任,09:00,09:00,17:00,60,420,一般業務,3.0,事務所,正常
2025-07-18,EMP003,渡辺由美,総務部,課長,09:00,09:00,17:00,60,420,電話対応,4.3,事務所,正常
2025-07-18,EMP004,田中太郎,経理部,係長,13:00,13:00,17:00,0,240,一般業務,3.0,事務所,正常
2025-07-18,EMP006,佐藤花子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.3,事務所,正常
2025-07-18,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,外回り,3.2,事務所,正常
2025-07-18,EMP009,井上麻衣,管理部,課長,09:00,09:00,15:00,60,300,一般業務,3.6,事務所,正常
2025-07-18,EMP010,加藤恵子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.5,事務所,正常
2025-07-18,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,電話対応,4.0,事務所,正常
2025-07-18,EMP012,小林和也,経理部,主任,10:00,10:00,18:00,60,420,一般業務,4.8,事務所,正常
2025-07-19,EMP002,鈴木次郎,経理部,主任,09:00,09:00,17:00,60,420,一般業務,3.8,事務所,正常
2025-07-19,EMP003,渡辺由美,総務部,課長,09:00,09:00,17:00,60,420,来客対応,4.3,事務所,正常
2025-07-19,EMP005,松本直樹,営業部,主任,17:00,17:00,25:00,60,420,外回り,3.5,事務所,正常
2025-07-19,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,外回り,3.9,事務所,正常
2025-07-19,EMP010,加藤恵子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.7,事務所,正常
2025-07-19,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,事務処理,4.8,事務所,正常
2025-07-19,EMP012,小林和也,経理部,主任,13:00,13:00,18:00,0,300,一般業務,4.6,事務所,正常
2025-07-20,EMP003,渡辺由美,総務部,課長,09:00,09:00,17:00,60,420,来客対応,4.1,事務所,正常
2025-07-20,EMP004,田中太郎,経理部,係長,09:00,09:00,13:00,0,240,一般業務,3.2,事務所,正常
2025-07-20,EMP005,松本直樹,営業部,主任,13:00,13:00,19:00,60,300,顧客対応,3.9,事務所,正常
2025-07-20,EMP006,佐藤花子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.3,事務所,正常
2025-07-20,EMP008,中村真理,経理部,主任,10:00,10:00,18:00,60,420,一般業務,3.1,事務所,正常
2025-07-20,EMP009,井上麻衣,管理部,課長,10:00,10:00,18:00,60,420,一般業務,3.8,事務所,正常
2025-07-20,EMP010,加藤恵子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.3,事務所,正常
2025-07-21,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.1,事務所,正常
2025-07-21,EMP002,鈴木次郎,経理部,主任,09:00,09:12,17:00,60,407,一般業務,3.2,事務所,遅刻
2025-07-21,EMP003,渡辺由美,総務部,課長,09:00,09:00,17:00,60,420,来客対応,4.9,事務所,正常
2025-07-21,EMP004,田中太郎,経理部,係長,13:00,13:00,21:00,60,420,一般業務,3.8,事務所,正常
2025-07-21,EMP005,松本直樹,営業部,主任,13:00,13:00,17:00,0,240,外回り,3.1,事務所,正常
2025-07-21,EMP006,佐藤花子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.5,事務所,正常
2025-07-21,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,顧客対応,3.2,事務所,正常
2025-07-21,EMP008,中村真理,経理部,主任,09:00,09:19,15:00,60,280,一般業務,3.7,事務所,遅刻
2025-07-21,EMP009,井上麻衣,管理部,課長,09:00,09:00,13:00,0,240,一般業務,3.1,事務所,正常
2025-07-21,EMP010,加藤恵子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.4,事務所,正常
2025-07-21,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,来客対応,4.2,事務所,正常
2025-07-21,EMP012,小林和也,経理部,主任,10:00,10:00,14:00,0,240,一般業務,5.0,事務所,正常
2025-07-22,EMP002,鈴木次郎,経理部,主任,09:00,09:00,17:00,60,420,一般業務,3.0,事務所,正常
2025-07-22,EMP003,渡辺由美,総務部,課長,09:00,09:00,17:00,60,420,事務処理,5.0,事務所,正常
2025-07-22,EMP004,田中太郎,経理部,係長,10:00,10:00,18:00,60,420,一般業務,3.7,事務所,正常
2025-07-22,EMP005,松本直樹,営業部,主任,17:00,17:00,23:00,60,300,外回り,3.4,事務所,正常
2025-07-22,EMP006,佐藤花子,経理部,課長,09:00,09:15,17:00,60,404,一般業務,4.0,事務所,遅刻
2025-07-22,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,資料作成,3.2,事務所,正常
2025-07-22,EMP008,中村真理,経理部,主任,10:00,10:00,14:00,0,240,一般業務,3.8,事務所,正常
2025-07-22,EMP010,加藤恵子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.1,事務所,正常
2025-07-22,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,事務処理,4.2,事務所,正常
2025-07-22,EMP012,小林和也,経理部,主任,17:00,17:00,21:00,0,240,一般業務,4.9,事務所,正常
2025-07-23,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.1,事務所,正常
2025-07-23,EMP002,鈴木次郎,経理部,主任,09:00,09:00,17:00,60,420,一般業務,3.9,事務所,正常
2025-07-23,EMP003,渡辺由美,総務部,課長,09:00,09:00,17:00,60,420,事務処理,4.5,事務所,正常
2025-07-23,EMP004,田中太郎,経理部,係長,17:00,17:00,21:00,0,240,一般業務,4.0,事務所,正常
2025-07-23,EMP005,松本直樹,営業部,主任,17:00,17:00,21:00,0,240,顧客対応,3.4,事務所,正常
2025-07-23,EMP006,佐藤花子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.4,事務所,正常
2025-07-23,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,外回り,3.7,事務所,正常
2025-07-23,EMP008,中村真理,経理部,主任,13:00,13:00,19:00,60,300,一般業務,3.6,事務所,正常
2025-07-23,EMP009,井上麻衣,管理部,課長,17:00,17:00,22:00,0,300,一般業務,3.1,事務所,正常
2025-07-23,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,電話対応,4.0,事務所,正常
